Iso3,Area,StartDate (Food security),EndDate (Food Security),Item,Unit,Value,GHI Reference Year,GHI_Score,GHI_Rank,Absolute change since 2016,% change since 2016,Undernourishment_Pct (% of population),Child_Wasting_Pct (% of children under five years old),Child_Stunting_Pct (% of children under five years old),Child_Mortality_Pct (% of children under five years old),Note
PHL,Philippines,2000-01-01,2002-12-31,Percent of arable land equipped for irrigation (percent) (3-year average),%,4.6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Value of food imports in total merchandise exports (percent) (3-year average),%,6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Political stability and absence of violence/terrorism (index),,-1.39,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Per capita food supply variability (kcal/cap/day),kcal/cap/d,40,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of population using safely managed drinking water services (percent),%,41,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of population using at least basic drinking water services (percent),%,86,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of population using safely managed sanitation services (percent),%,46,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of population using at least basic sanitation services (percent),%,64,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of children under 5 years affected by wasting (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of children under 5 years affected by wasting (million),million No,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,34.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of children under 5 years of age who are stunted (modeled estimates) (million),million No,3.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,2.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of children under 5 years of age who are overweight (modeled estimates) (million),million No,0.2,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Prevalence of obesity in the adult population (18 years and older) (percent),%,3.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of obese adults (18 years and older) (million),million No,1.4,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,25,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of women of reproductive age (15-49 years) affected by anemia (million),million No,4.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Prevalence of low birthweight (percent),%,20.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Number of newborns with low birthweight (million),million No,0.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1694,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2181,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.31,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2000-12-31,Incidence of caloric losses at retail distribution level (percent),%,3.22,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2000-01-01,2002-12-31,Average fat supply (g/cap/day) (3-year average),g/cap/d,48.1,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Average dietary energy supply adequacy (percent) (3-year average),%,109,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2362,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2374,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,58,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Average protein supply (g/cap/day) (3-year average),g/cap/d,54.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,22.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4884.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Prevalence of undernourishment (percent) (3-year average),%,18.6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Number of people undernourished (million) (3-year average),million No,15.1,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Cereal import dependency ratio (percent) (3-year average),%,24.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Percent of arable land equipped for irrigation (percent) (3-year average),%,4.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Value of food imports in total merchandise exports (percent) (3-year average),%,6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Per capita food supply variability (kcal/cap/day),kcal/cap/d,40,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of population using safely managed drinking water services (percent),%,41,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of population using at least basic drinking water services (percent),%,86,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of population using safely managed sanitation services (percent),%,46,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of population using at least basic sanitation services (percent),%,65,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of children under 5 years affected by wasting (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of children under 5 years affected by wasting (million),million No,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,34.4,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of children under 5 years of age who are stunted (modeled estimates) (million),million No,3.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,2.4,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of children under 5 years of age who are overweight (modeled estimates) (million),million No,0.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Prevalence of obesity in the adult population (18 years and older) (percent),%,3.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of obese adults (18 years and older) (million),million No,1.6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,24.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of women of reproductive age (15-49 years) affected by anemia (million),million No,4.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Prevalence of low birthweight (percent),%,20.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Number of newborns with low birthweight (million),million No,0.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1696,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2184,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2001-12-31,Incidence of caloric losses at retail distribution level (percent),%,3.22,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2001-01-01,2003-12-31,Average fat supply (g/cap/day) (3-year average),g/cap/d,47.1,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Average dietary energy supply adequacy (percent) (3-year average),%,110,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2381,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2402.0,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,58,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Average protein supply (g/cap/day) (3-year average),g/cap/d,55.4,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,22.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4963,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Prevalence of undernourishment (percent) (3-year average),%,17.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Number of people undernourished (million) (3-year average),million No,14.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Cereal import dependency ratio (percent) (3-year average),%,22.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Percent of arable land equipped for irrigation (percent) (3-year average),%,4.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Value of food imports in total merchandise exports (percent) (3-year average),%,6,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Political stability and absence of violence/terrorism (index),,-0.86,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Per capita food supply variability (kcal/cap/day),kcal/cap/d,29,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of population using safely managed drinking water services (percent),%,42,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of population using at least basic drinking water services (percent),%,87,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of population using safely managed sanitation services (percent),%,46,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of population using at least basic sanitation services (percent),%,65,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of children under 5 years affected by wasting (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of children under 5 years affected by wasting (million),million No,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,34.1,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of children under 5 years of age who are stunted (modeled estimates) (million),million No,3.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,2.4,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of children under 5 years of age who are overweight (modeled estimates) (million),million No,0.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Prevalence of obesity in the adult population (18 years and older) (percent),%,3.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of obese adults (18 years and older) (million),million No,1.7,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,23.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of women of reproductive age (15-49 years) affected by anemia (million),million No,4.9,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Prevalence of low birthweight (percent),%,20.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Number of newborns with low birthweight (million),million No,0.5,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1698,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2187,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.3,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2002-12-31,Incidence of caloric losses at retail distribution level (percent),%,3.27,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2002-01-01,2004-12-31,Average fat supply (g/cap/day) (3-year average),g/cap/d,46.8,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
PHL,Philippines,2003-01-01,2005-12-31,Average dietary energy supply adequacy (percent) (3-year average),%,111,2000,24.9,24.9,-3.5,-19.6,18.8,8,38.3,3.7,This entry is grouped under the 2000 range (1998–2004) because its data collection started between 1998 and 2004.
